,CarID,Name,Amount,Region,use_type,Mileage
2638,/2P32GBvvik94pCFOdNjnSlk2,Suzuki Grand 2006 Gray,"₦ 2,585,000","Lagos State, Victoria Island",Nigerian Used,51402 km
2639,/26LeOdJ1GCkw2qxfcmBIPz6,Honda Pilot 2009 Gray,"₦ 3,570,000","Abuja (FCT), Kubwa",Nigerian Used,142009 km
2640,/tKQDkMFZFeRgr36lxf9JIDYr,Toyota Corolla 2009 Gray,"₦ 2,940,000","Lagos State, Alimosho",Nigerian Used,148116 km
2641,/banJe0YpXUEBelA8DQL325mR,Toyota Camry 2005 Black,"₦ 1,680,000","Lagos State, Ajah",Nigerian Used,112374 km
2642,/PYi2HMTJOopuvT7JPRJAgJO,Hyundai Tucson 2005 Silver,"₦ 2,100,000","Lagos State, Ojodu",Nigerian Used,378042 km
2643,/rXjXEjwytkwWupI1Ei5nnjxd,Land Rover Range Rover 2012 Gold,"₦ 7,192,500","Anambra State, Onitsha",Nigerian Used,57677 km
2644,/aMSuEp26q5FHTFpMSrGUArpy,Nissan Pathfinder 2005 Black,"₦ 1,680,000","Oyo State, Ibadan",Nigerian Used,124494 km
2645,/hxHkckVHgRGe371Wv4iPOMWi,Toyota Camry 2002 Red,"₦ 2,184,000","Lagos State, Alimosho",Nigerian Used,223237 km
2646,/aFtUF5bhSpmsAFrNkuO3qxWa,Volkswagen Passat 1999 Red,"₦ 1,470,000","Ogun State, Ado-Odo/Ota",Foreign Used,218535 km
2647,/s4mZuoO2njOpHbV49fd03HYM,Mercedes-Benz GLA 250 2015 Black,"₦ 17,160,000","Lagos State, Lekki",Nigerian Used,53792 km
2648,/cGpmR9PpmH1Q9zpi2nsI4OzT,Nissan Sentra 2008 Gray,"₦ 1,890,000","Abuja (FCT), Kubwa",Nigerian Used,223735 km
2649,/pPvE9hbRsH0TKsozTsAlEtH5,Land Rover Range Rover 2008 Black,"₦ 5,720,000","Abuja (FCT), Wuse",Nigerian Used,264551 km
2650,/sag1iSpCJTgCk0ZHYelCrJyz,Mercedes-Benz GL-Class 2008 Gold,"₦ 6,240,000","Lagos State, Ojodu",Nigerian Used,Nigerian Used
2651,/av61aZl91mXuSPmQ0waWsCEB,Chevrolet Impala LT 2012 Black,"₦ 1,680,000","Lagos State, Ikeja",Nigerian Used,164843 km
2652,/hlPfcAuOezT4VSP841VTRMIC,Toyota Corolla 2009 Gray,"₦ 2,992,500","Abuja (FCT), Garki 2",Nigerian Used,221487 km
2653,/61QtdK5ABRQVHyZgzGybvdXn,Lexus RX 2010 Gray,"₦ 8,840,000","Lagos State, Mushin",Nigerian Used,222338 km
2654,/hFwX9zO8RodiEa0WSf2ugmhF,Toyota RAV4 2011 Gray,"₦ 5,512,000","Abuja (FCT), Wuse",Nigerian Used,106869 km
2655,/eNDdzoPvcytWW5flHlDoiDo6,Nissan Rogue 2015 Black,"₦ 12,600,000","Lagos State, Ajah",Nigerian Used,104151 km
2656,/nFSlXAAHqQ3VL4pW1r6uV6f,Mitsubishi L200 Double Cab 2.2 4WD 2016 Black,"₦ 5,565,000","Rivers State, Port-Harcourt",Foreign Used,99304 km
2657,/dicrw6cu0YCGcbXVwINgdU7h,Toyota Coaster 2013 White,"₦ 31,500,000","Abuja (FCT), Katampe",Nigerian Used,378288 km
2658,/iEgNijfaYdyP8qrkctmk5VMp,Honda Odyssey 2.3 2WD 2003 Blue,"₦ 1,508,000","Lagos State, Ikeja",Nigerian Used,208561 km
2659,/zXX0ljnAIbF4FafdSeeIRRW4,Kia Rio 2015 Blue,"₦ 3,360,000","Lagos State, Ikeja",Nigerian Used,115926 km
2660,/5ODR03V1F9j05hCM0t8yyAbO,Peugeot 407 2005 Black,"₦ 1,050,000","Abuja (FCT), Jabi",Nigerian Used,341055 km
2661,/dqK1bZSOOROOAh5FszKsOAB1,Ford Mustang 2015 Red,"₦ 13,650,000","Lagos State, Amuwo-Odofin",Foreign Used,234424 km
2662,/85HhsAPDQIUkBSerzIDWXhkT,Nissan Sentra 2.0 SL 2010 Green,"₦ 1,732,500","Lagos State, Ikeja",Nigerian Used,292066 km
2663,/ftAJa1THygkAItRgXal1jjl6,Toyota Camry 1999 Gray,"₦ 1,560,000","Kwara State, Ilorin East",Nigerian Used,381719 km
2664,/54QN929mEoLFtCD8pkCN9Or6,Lexus GX 2005 Blue,"₦ 5,000,000","Lagos State, Alimosho",Nigerian Used,189911 km
2665,/iymJ1RoP1K0xcnmWOLy0Wgbn,Nissan Almera 2013 Red,"₦ 2,625,000","Lagos State, Ojodu",Nigerian Used,188275 km
2666,/5OSOS6NAViUikYcjhbOl8Zoe,Toyota Corolla 2003 Black,"₦ 2,808,000","Abuja (FCT), Wuse",Nigerian Used,224451 km
2667,/n7T7DEUerZ5tgwCDNXOKKjDs,Toyota Corolla 2003 Red,"₦ 2,704,000","Lagos State, Yaba",Nigerian Used,357954 km
2668,/oFU9SzmelvUZyiIRaWBSdQ0f,Honda Pilot 2008 Black,"₦ 1,890,000","Lagos State, Ikorodu",Nigerian Used,113047 km
2669,/7vGwpAaagLg7mOWJFIygHV0g,Toyota Sienna 2015 Red,"₦ 9,135,000","Lagos State, Ogba",Nigerian Used,153709 km
2670,/iAQ7fGvfXTJCcJqSasSyDGhr,Mitsubishi L200 2015 White,"₦ 3,990,000","Lagos State, Amuwo-Odofin",Nigerian Used,207670 km
2671,/yvXsPL6qIB4yDcQ42lLUNJgc,Toyota Camry 2007 Black,"₦ 2,425,500","Lagos State, Yaba",Nigerian Used,140907 km
2672,/kWtmvtHMDPn03UBUrgyKM1P5,Honda Accord 2004 Gray,"₦ 1,155,000","Lagos State, Ikeja",Nigerian Used,235281 km
2673,/7HqZ4yyafLfA0TZuN8R0p8qD,Lexus RX 350 2010 White,"₦ 7,980,000","Abuja (FCT), Garki 2",Nigerian Used,256144 km
2674,/qb3H6tyqSazjGnwS0FH93x9Q,Mercedes-Benz M Class 2013 Silver,"₦ 10,263,750","Abuja (FCT), Wuse",Nigerian Used,55694 km
2675,/unQmHKfM424GHShrIyEIvBrv,Opel Zafira 2001 Silver,"₦ 1,837,500","Ogun State, Ado-Odo/Ota",Nigerian Used,222765 km
2676,/xrru09kpR08N78KXTFHDtA1E,Lexus GS 2007 Blue,"₦ 4,160,000","Lagos State, Alimosho",Nigerian Used,186464 km
2677,/pPjyPeiA3vwSbRPJgGcLohvU,Ford F-150 Super Cab 4x4 2007 Black,"₦ 7,770,000","Abuja (FCT), Garki 2",Nigerian Used,304224 km
2678,/oO1BtfzXrrlFS3y6kJXtUBN4,Toyota Corolla 2005 Black,"₦ 2,415,000","Lagos State, Ojodu",Nigerian Used,290495 km
2679,/uDFHesj2tBtCAojYnaanbszf,Kia Sorento 2003 Silver,"₦ 1,785,000","Kwara State, Ilorin East",Nigerian Used,292751 km
2680,/fRGAG7WrqxaBYKTTiKG1al03,Volvo V40 1996 Purple,"₦ 1,680,000","Lagos State, Magodo",Nigerian Used,268332 km
2681,/z5QfzTx6NqoV0Hd7CmkfR11b,Nissan Sentra 2019 Gray,"₦ 5,775,000","Lagos State, Ajah",Foreign Used,48899 km
2682,/zM83IYhN4tGSewHzwzrRjvpU,Honda Civic 2005 Black,"₦ 1,207,500","Lagos State, Ogudu",Nigerian Used,Nigerian Used
